id;slug;name
1049;adobe-sensei;Adobe Sensei
1050;openai-dall-e;OpenAI DALL-E
1051;chatgpt;ChatGPT
1052;grammarly;Grammarly
1053;summarizebot;SummarizeBot
1054;dialogflow;Dialogflow
1055;ibm-watson-assistant;IBM Watson Assistant
1056;google-assistant;Google Assistant
1057;amazon-alexa;Amazon Alexa
1058;alphasense;AlphaSense
1059;kensho;Kensho
1060;blackrock-aladdin;BlackRock Aladdin
1061;sas-fraud-detection;SAS Fraud Detection
1062;palantir;Palantir
1063;ibm-planning-analytics;IBM Planning Analytics
1064;quarkus;Quarkus
1065;dropwizard;Dropwizard
1066;julia;Julia
1067;groovy;Groovy
1068;elm;Elm
1069;react-query;React Query
1070;recoil;Recoil
1071;mobx;MobX
1072;svelte;Svelte
1073;blazor;Blazor
1074;micronaut;Micronaut
1075;akka;Akka
1076;jhipster;JHipster
1077;ibm-cloud;IBM Cloud
1078;oracle-cloud;Oracle Cloud
1079;openshift;OpenShift
1080;rancher;Rancher
1081;nomad;Nomad
1082;podman;Podman
1083;cockroachdb;CockroachDB
1084;cassandra;Cassandra
1085;h2;H2
1086;influxdb;InfluxDB
1087;arangodb;ArangoDB
1088;bamboo;Bamboo
1089;teamcity;TeamCity
1090;codeship;CodeShip
1091;argocd;ArgoCD
1092;spinnaker;Spinnaker
1093;material-ui;Material UI
1094;foundation;Foundation
1095;ant-design;Ant Design
1096;semantic-ui;Semantic UI
1097;uikit;UIKit
1098;presto;Presto
1099;apache-flink;Apache Flink
1100;apache-beam;Apache Beam
1101;druid;Druid
1102;snowflake;Snowflake
1103;hugging-face-transformers;Hugging Face Transformers
1104;rapidminer;RapidMiner
1105;weka;Weka
1106;knime;KNIME
1107;appcelerator;Appcelerator
1108;grafana;Grafana
1109;ethical-hacking;Ethical Hacking
1110;penetration-testing;Penetration Testing
1111;browserstack;BrowserStack
1112;browserify;Browserify
1113;alibaba-cloud;Alibaba Cloud
1114;graphene-python;Graphene python
1115;tornado-python;Tornado python
1116;godot;Godot
1117;airflow;Airflow
1118;adonis-js;Adonis.js
1119;angular;Angular
1120;rust;Rust
